Date,open,high,low,close,Volume,OpenInt
12/14/16,39.358,39.761,39.126,39.408,44978,0
12/15/16,39.408,39.408,39.043,39.15,30357,0
12/16/16,39.356,39.445,38.97,39.059,64336,0
12/19/16,39.019,39.416,39.019,39.177,17569,0
12/20/16,38.951,39.306,38.704,38.833,54310,0
12/21/16,38.803,39.236,38.644,38.961,87476,0
12/22/16,38.962,39.528,38.951,39.099,94502,0
12/23/16,38.66,39.416,38.66,39.366,65647,0
12/27/16,39.128,39.396,37.817,39.246,49126,0
12/28/16,38.951,39.406,38.799,39.227,51062,0
12/29/16,38.979,39.732,38.427,39.356,42827,0
12/30/16,39.039,39.603,38.481,39.286,106447,0
1/3/17,39.079,39.246,38.754,38.999,49335,0
1/4/17,39.039,39.543,38.961,39.009,58651,0
1/5/17,39.138,39.851,39.119,39.396,67759,0
1/6/17,39.197,39.901,39.14,39.474,75657,0
1/9/17,39.009,39.776,38.813,38.912,115169,0
1/10/17,39.147,39.554,38.932,39.128,121904,0
1/11/17,39.197,39.197,38.862,38.994,17093,0
1/12/17,39.346,39.96,39.246,39.346,123396,0
1/13/17,39.376,39.791,39.366,39.573,56576,0
1/17/17,39.426,40.037,39.232,39.493,69082,0
1/18/17,39.572,39.747,39.25,39.562,20226,0
1/19/17,39.582,39.582,39.003,39.425,48394,0
1/20/17,39.425,39.836,39.023,39.255,69980,0
1/23/17,39.198,40.136,39.043,39.562,122270,0
1/24/17,39.156,40.447,39.033,39.502,99315,0
1/25/17,39.811,40.081,39.325,39.622,56639,0
1/26/17,39.375,40.343,39.068,39.602,67925,0
1/27/17,39.652,40.076,39.25,39.492,39609,0
1/30/17,39.482,39.811,39.097,39.652,97743,0
1/31/17,39.502,40.056,39.435,39.851,84488,0
2/1/17,39.841,39.841,39.235,39.572,37836,0
2/2/17,39.552,39.761,39.502,39.502,6978,0
2/3/17,39.95,39.95,39.602,39.602,7054,0
2/6/17,40.146,40.146,39.582,39.582,16468,0
2/7/17,39.988,39.988,39.547,39.781,3706,0
2/8/17,39.642,39.801,39.515,39.682,4347,0
2/10/17,39.552,40.243,39.552,39.959,23660,0
2/14/17,39.978,40.052,39.851,39.93,5461,0
2/15/17,39.841,40.185,39.841,39.95,23091,0
2/16/17,39.892,40.091,39.745,39.963,63399,0
2/17/17,39.835,40.321,39.835,40.022,69975,0
2/21/17,40.031,40.061,39.824,40.022,17870,0
2/22/17,39.865,39.934,39.865,39.934,1551,0
2/23/17,39.934,40.167,39.934,40.161,21640,0
2/24/17,39.992,40.201,39.795,40.18,24030,0
2/28/17,39.934,40.298,39.875,40.248,29222,0
3/1/17,40.17,40.382,39.906,40.121,20990,0
3/2/17,40.051,40.145,39.745,39.963,11708,0
3/3/17,39.785,39.934,39.511,39.759,6274,0
3/6/17,39.795,40.031,39.611,39.895,24355,0
3/7/17,39.843,40.219,39.843,39.933,35484,0
3/8/17,39.795,40.238,39.619,39.992,23044,0
3/9/17,39.835,40.091,39.596,39.825,27123,0
3/10/17,39.825,40.101,39.601,39.993,24942,0
3/13/17,39.885,39.982,39.805,39.954,3434,0
3/14/17,39.954,40.161,39.686,40.091,12804,0
3/15/17,40.041,40.561,39.934,40.16,27749,0
3/16/17,40.161,40.387,39.84,40.338,27906,0
3/17/17,40.281,40.291,40.102,40.103,13328,0
3/20/17,40.361,40.402,40.172,40.281,6960,0
3/21/17,40.271,40.45,40.123,40.231,24063,0
3/22/17,40.122,40.446,40.073,40.291,68506,0
3/23/17,40.25,40.516,40.241,40.372,31110,0
3/24/17,40.281,40.802,40.078,40.48,43515,0
3/27/17,40.44,40.707,40.43,40.539,7475,0
3/28/17,40.509,41.218,40.509,40.667,31667,0
3/29/17,40.43,40.717,40.43,40.569,29800,0
3/30/17,40.618,40.647,40.559,40.589,6360,0
4/3/17,40.598,40.618,40.47,40.539,6110,0
4/4/17,40.489,40.831,40.093,40.251,40678,0
4/5/17,40.27,40.559,40.093,40.351,24983,0
4/6/17,40.251,40.411,40.251,40.361,13930,0
4/7/17,40.27,40.589,40.27,40.45,16755,0
4/10/17,40.351,40.718,40.135,40.47,20152,0
4/11/17,40.4,40.549,40.073,40.489,12700,0
4/12/17,40.331,41.265,39.887,40.608,36165,0
4/13/17,40.866,41.114,40.474,40.817,25737,0
4/17/17,40.707,40.707,40.707,40.707,100,0
4/18/17,40.47,40.554,40.301,40.371,7212,0
4/19/17,40.558,40.607,40.201,40.508,32935,0
4/21/17,40.626,40.626,40.389,40.389,9002,0
4/24/17,40.578,40.666,40.459,40.597,9569,0
4/25/17,40.706,40.706,40.607,40.656,7764,0
4/26/17,40.706,40.706,40.636,40.656,4498,0
4/27/17,40.626,40.636,40.498,40.508,3730,0
4/28/17,40.449,40.661,40.389,40.66,6188,0
5/1/17,40.597,40.676,40.389,40.399,8875,0
5/2/17,40.528,40.549,40.399,40.518,7406,0
5/3/17,40.529,40.679,40.458,40.488,11540,0
5/4/17,40.578,40.598,40.34,40.479,6538,0
5/5/17,40.459,40.607,40.449,40.518,6914,0
5/9/17,40.479,40.479,40.419,40.449,2318,0
5/10/17,40.439,40.439,40.404,40.404,714,0
5/11/17,40.681,40.803,40.409,40.803,3728,0
5/12/17,40.578,40.588,40.29,40.429,4405,0
5/15/17,40.626,40.806,40.235,40.469,6092,0
5/16/17,40.787,40.787,40.5,40.5,2327,0
5/17/17,40.742,40.742,40.49,40.55,1310,0
5/18/17,40.345,40.599,40.342,40.544,2719,0
5/19/17,40.609,40.82,40.183,40.461,2849,0
5/22/17,40.688,40.994,40.366,40.698,13066,0
